country,k_thr,tau,total_segments,rf_deprived_segments,mn_deprived_segments,rf_deprived_pop,mn_deprived_pop,total_pop
somalia,3,0.3,7648,5285,464,5402030.855397178,921539.149588757,8295293.609712728
south_africa,3,0.3,27136,12318,2985,12148012.599995438,2790033.5184916602,30289706.70029247
south_sudan,3,0.3,833,499,148,569345.035959706,221466.542379639,984642.965601156
sudan,3,0.3,16340,10460,745,8821698.496891912,869732.906862348,15147905.022114929
tanzania,3,0.3,9739,3481,2331,6658691.269839512,3497642.687042716,14983633.215272397
togo,3,0.3,3041,645,280,621007.888738542,352231.434541861,3367055.130280057
uganda,3,0.3,4645,1612,2437,2156964.525660353,3230863.952251791,6399543.600518564
zambia,3,0.3,6357,1677,1284,1833037.626412265,1791683.571762343,7472185.76578634
zimbabwe,3,0.3,2768,282,566,260893.761653757,521764.10646346794,3101648.1956995917
angola,5,0.1,16222,7429,1241,9490744.786406256,3753198.5985121666,20650829.648216836
cameroon,5,0.1,10141,3222,623,4300646.212809186,1562810.2957322411,15198621.01101642
benin,5,0.1,4612,498,177,398578.99227366,253256.09984299602,4673285.7469121665
burkina_faso,5,0.1,5322,3312,164,3014083.1182127493,233814.465028491,5103500.920221765
botswana,5,0.1,507,27,0,23446.048594085,0.0,549454.002392059
burundi,5,0.1,1348,582,57,624197.862321557,179750.97758732497,1714038.352422793
central_african_republic,5,0.1,868,491,202,989593.631405213,839122.3631736389,1601841.313697086
chad,5,0.1,3716,712,93,619282.656271341,227921.17507432398,3661678.152726385
ghana,5,0.1,12130,1144,655,1518667.515258712,1666604.348214897,15943320.202505251
gambia,5,0.1,1505,40,2,27782.571619514998,2029.7065817470002,1446656.488261111
comoros,5,0.1,220,138,31,156892.55495845797,109819.76827862997,394719.234936952
djibouti,5,0.1,301,155,12,166737.79081241498,24958.132165781004,420632.270088937
cote_d_ivoire,5,0.1,8162,2167,286,2345349.917980085,973361.269444065,10639014.760486715
gabon,5,0.1,356,42,96,73910.783703347,359576.85269624693,745404.3793945231
democratic_republic_of_the_congo,5,0.1,31029,15533,1358,18324953.302096408,7141013.335767989,43591738.808713526
equatorial_guinea,5,0.1,491,72,71,241243.395520473,457017.1143010811,1182009.9697834991
ethiopia,5,0.1,12094,4702,269,5186117.37230921,705866.3753062888,14999047.86558796
eritrea,5,0.1,243,49,0,47789.151316098,0.0,253661.679412561
guinea_bissau,5,0.1,549,1,21,664.085087043,67692.41978765701,780204.450061094
guinea,5,0.1,3587,1013,275,1119291.325451435,623611.483737646,5008076.957590911
kenya,5,0.1,6162,2403,356,4411101.836341731,1409311.420520555,10892339.03186487
lesotho,5,0.1,224,2,0,2128.876881538,0.0,234325.79196567798
liberia,5,0.1,876,39,117,84988.08418611203,469106.72490577097,2216567.2099406663
madagascar,5,0.1,872,459,297,2253745.715725423,2249012.487316332,3833274.618120391
malawi,5,0.1,1727,972,187,1353082.9660366122,550551.078621592,2369040.752047225
mali,5,0.1,5920,1871,84,1607600.8857251909,132823.442666309,5960716.49871718
mauritania,5,0.1,1828,566,3,502698.12127523404,4997.840779073,1706446.892726493
mauritius,5,0.1,447,2,4,1277.671871593,4184.910691141,561324.3734052279
mozambique,5,0.1,6041,2735,485,3571108.1722807838,1361709.712758044,7310755.477268714
namibia,5,0.1,347,197,29,240510.651151803,46230.348074290996,405575.736074747
niger,5,0.1,4747,3063,114,2531256.9318163916,261435.128823757,4622590.486370739
nigeria,5,0.1,64327,10458,3959,12419246.35713979,12716531.394610768,91597687.98445147
