ID_HDC_G0,Region,Region_L2_pred,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived
1060.0,Latin America and the Caribbean,South America,argentina,Santa Fe,416,416,100.0,369831.208033158,3282.5528163,0.8875813465708648
1061.0,Latin America and the Caribbean,South America,argentina,Santo Tomé,72,72,100.0,61616.128356964,0.0,0.0
1064.0,Latin America and the Caribbean,South America,argentina,Reconquista,102,102,100.0,100683.46601868002,1255.95690425,1.2474311363267725
1065.0,Latin America and the Caribbean,South America,argentina,Resistencia,424,424,100.0,416199.394534081,155476.041489841,37.35614312074874
1067.0,Latin America and the Caribbean,South America,argentina,Paraná,231,231,100.0,211554.521722157,14019.195616514004,6.626753000782452
1069.0,Latin America and the Caribbean,South America,argentina,Corrientes,430,430,100.0,389103.25685924,86679.21766058101,22.276662076857825
1070.0,Latin America and the Caribbean,South America,argentina,Rosario,1428,1428,100.0,1303938.794563945,36003.419050682,2.7611279916494884
1071.0,Latin America and the Caribbean,South America,argentina,Goya,88,88,100.0,74028.242739268,8051.03993037,10.875632910436973
1073.0,Latin America and the Caribbean,South America,argentina,Formosa,195,195,100.0,174002.09363306197,18160.287396363005,10.436821199783761
1076.0,Latin America and the Caribbean,South America,argentina,Junín,98,98,100.0,81125.27043732902,0.0,0.0
1077.0,Latin America and the Caribbean,South America,argentina,Pergamino,103,103,100.0,88666.95124023201,1061.15671295,1.1967894442145965
1078.0,Latin America and the Caribbean,South America,argentina,Comodoro Rivadavia,165,165,100.0,148145.594864091,4674.291080139999,3.155200857931822
1080.0,Latin America and the Caribbean,South America,argentina,San Nicolás de los Arroyos,152,152,100.0,132244.933666142,13221.412763428,9.99767053217027
1081.0,Latin America and the Caribbean,South America,argentina,Puerto Madryn,103,103,100.0,100458.22395852699,716.694963686,0.7134258753985928
1082.0,Latin America and the Caribbean,South America,argentina,Trelew,131,131,100.0,115997.891703782,2124.385203005,1.8313998399470364
1083.0,Latin America and the Caribbean,South America,argentina,Bahía Blanca,275,275,100.0,251106.362166751,52697.34145855,20.986063835194877
1087.0,Latin America and the Caribbean,South America,argentina,Viedma,79,79,100.0,71177.19233398302,8380.373321169001,11.773958829179405
1089.0,Latin America and the Caribbean,South America,argentina,Concordia,255,255,100.0,225800.369503411,15758.380657853,6.9788994112407545
1092.0,Latin America and the Caribbean,South America,argentina,Zárate,85,85,100.0,83341.84635297599,4361.783339863,5.2336053624125745
1093.0,Latin America and the Caribbean,South America,argentina,Olavarría,87,87,100.0,71087.104005815,1353.237431996,1.9036328050236844
1094.0,Latin America and the Caribbean,South America,argentina,Gualeguaychu,71,71,100.0,61190.495402135,0.0,0.0
1095.0,Latin America and the Caribbean,South America,argentina,Concepción del Uruguay,56,56,100.0,52306.386273088996,0.0,0.0
