Region,Country,City,TotalBlocks,ValidBlocks,PctValid,TotalPop,DeprivedPop,PctDeprived
Asia,bangladesh,Naogaon,46,46,100.0,443625.66455299396,24401.603347849,5.500494064615612
Asia,bangladesh,Netrokona,130,130,100.0,229257.789897018,75287.321166418,32.839591274188265
Asia,bangladesh,Nilphamari,46,46,100.0,150729.82875132302,52497.96428560001,34.82918060778279
Asia,bangladesh,Pabna,105,105,100.0,504752.7290978161,65354.597702186,12.947844347270665
Asia,bangladesh,Rajshahi,552,552,100.0,888386.443859221,42011.706855149,4.728990085963809
Asia,bangladesh,Rampur,8,8,100.0,40586.917344241,0.0,0.0
Asia,bangladesh,Raujan,8,8,100.0,111721.54577045,0.0,0.0
Asia,bangladesh,Saidpur,113,113,100.0,259136.67565488,51590.169917597996,19.908478715805607
Asia,bangladesh,Shahbazpur Town,19,19,100.0,58833.363899749995,0.0,0.0
Asia,bangladesh,Shariatpur,21,21,100.0,116012.91294844,0.0,0.0
Asia,bangladesh,Shibpur,25,25,100.0,67984.282179698,0.0,0.0
Asia,bangladesh,Sirajganj,262,262,100.0,1864003.275392458,217306.967068493,11.658078606258881
Asia,bangladesh,Sreemangal,55,55,100.0,261619.46499807,29289.81023738,11.195577606427745
Asia,bangladesh,Sunamganj District,33,33,100.0,244196.46967490102,63808.002837609994,26.12978104169878
Asia,bangladesh,Sylhet,565,565,100.0,1413280.962805013,249838.84367343102,17.67793172403333
Asia,bangladesh,Tangail,98,98,100.0,990822.0182642319,88891.61163563801,8.971501439921822
Asia,bangladesh,Tarail,22,22,100.0,86579.22614407098,2806.18850527,3.2411799345496575
Asia,bangladesh,Thakurgaon,69,69,100.0,259226.796670848,41882.36153148,16.156648181962424
Asia,bangladesh,Trishal,36,36,100.0,190877.16780102902,13387.174658462001,7.0135023547797175
Asia,bangladesh,Ulipur,75,75,100.0,183555.27451820302,0.0,0.0
Asia,bangladesh,কালীগঞ্জ,23,23,100.0,72106.069095661,6471.74544732,8.975313074873247
