threshold,precision,recall,f1,accuracy,specificity,balanced_acc,tn,fp,fn,tp,region_code,repeat
0.4,0.8333333333333334,0.6032719836400818,0.6998813760379596,0.7413087934560327,0.8793456032719836,0.7413087934560327,430,59,194,295,3,37
0.4,0.8477011494252874,0.6032719836400818,0.7048984468339307,0.7474437627811861,0.8916155419222904,0.7474437627811861,436,53,194,295,3,38
0.4,0.8309859154929577,0.6032719836400818,0.6990521327014217,0.7402862985685071,0.8773006134969326,0.7402862985685073,429,60,194,295,3,39
0.4,0.8333333333333334,0.6032719836400818,0.6998813760379596,0.7413087934560327,0.8793456032719836,0.7413087934560327,430,59,194,295,3,40
0.4,0.8832335329341318,0.6032719836400818,0.7168894289185905,0.7617586912065439,0.9202453987730062,0.7617586912065439,450,39,194,295,3,41
0.4,0.8526011560693642,0.6032719836400818,0.7065868263473054,0.7494887525562373,0.8957055214723927,0.7494887525562373,438,51,194,295,3,42
0.4,0.8779761904761905,0.6032719836400818,0.7151515151515152,0.7597137014314929,0.9161554192229039,0.7597137014314929,448,41,194,295,3,43
0.4,0.8217270194986073,0.6032719836400818,0.6957547169811321,0.7361963190184049,0.869120654396728,0.7361963190184049,425,64,194,295,3,44
0.4,0.8702064896755162,0.6032719836400818,0.7125603864734299,0.7566462167689162,0.9100204498977505,0.7566462167689162,445,44,194,295,3,45
0.4,0.8501440922190202,0.6032719836400818,0.7057416267942583,0.7484662576687117,0.8936605316973415,0.7484662576687117,437,52,194,295,3,46
0.4,0.8651026392961877,0.6032719836400818,0.7108433734939759,0.754601226993865,0.9059304703476483,0.7546012269938651,443,46,194,295,3,47
0.4,0.8501440922190202,0.6032719836400818,0.7057416267942583,0.7484662576687117,0.8936605316973415,0.7484662576687117,437,52,194,295,3,48
0.4,0.8575581395348837,0.6032719836400818,0.7082833133253301,0.7515337423312883,0.8997955010224948,0.7515337423312883,440,49,194,295,3,49
