Country,Threshold,TotalSegments,RF_Deprived_Seg,SSI_Deprived_Seg,SpaceDef_Deprived_Seg,AnyPixel_Deprived_Seg,RF_Deprived_Pop,SSI_Deprived_Pop,SpaceDef_Deprived_Pop,AnyPixel_Deprived_Pop,Total_Pop,Status
ghana,0.3,12130,4457,10530,2623,10443,4999951.299804114,14075243.958585843,3176614.0116034597,13906340.586367296,15943320.20250525,OK
guinea,0.1,3587,2176,3136,2021,3135,2378019.35855369,4582925.772262955,2541775.782161159,4582334.958480289,5008076.957590911,OK
guinea,0.2,3587,2176,3029,1902,3001,2378019.35855369,4449264.317158738,2252907.901488836,4303313.43575461,5008076.957590911,OK
guinea,0.3,3587,2176,2850,1802,2799,2378019.35855369,4106556.906539065,2055251.106740383,3938288.340076875,5008076.957590911,OK
uganda,0.1,4645,2648,4375,2687,4368,3287733.689689286,6176261.335669458,3843022.636490787,6159298.4889480565,6399543.600518564,OK
uganda,0.2,4645,2648,4255,2469,4242,3287733.689689286,6044787.568636404,3377341.7246528855,6032714.270480342,6399543.600518564,OK
uganda,0.3,4645,2648,4065,2278,4007,3287733.689689286,5845632.41886376,3045533.023804875,5755760.7183575425,6399543.600518564,OK
senegal,0.1,8269,4420,7442,6008,7436,3849218.871484082,7371437.703566984,5789931.364324362,7363619.500086123,8346712.4342455845,OK
senegal,0.2,8269,4420,7253,5757,7233,3849218.871484082,7127322.308667098,5388525.971534555,7085764.27410478,8346712.4342455845,OK
senegal,0.3,8269,4420,6978,5547,6931,3849218.871484082,6725945.452744167,5121896.045413965,6613655.973423211,8346712.4342455845,OK
malawi,0.1,1727,1144,779,531,779,1465175.1355378958,1333551.251819232,1025826.631322051,1333551.251819232,2369040.752047225,OK
malawi,0.2,1727,1144,763,495,760,1465175.1355378958,1315940.819289613,863249.758287927,1311759.4285264509,2369040.752047225,OK
malawi,0.3,1727,1144,736,463,726,1465175.1355378958,1287490.7409314131,789487.149401793,1216259.0650232052,2369040.752047225,OK
benin,0.1,4612,1725,4016,2270,4013,1395721.3905348799,4180925.473621064,2206727.0611929162,4165287.3600339172,4673285.7469121665,OK
benin,0.2,4612,1725,3766,2135,3740,1395721.3905348799,3899643.108996452,1996731.254577022,3870921.733670799,4673285.7469121665,OK
benin,0.3,4612,1725,3455,1997,3390,1395721.3905348799,3602260.47602085,1827629.774544884,3479688.787980756,4673285.7469121665,OK
liberia,0.1,876,270,699,161,696,404097.593758978,1931506.6180489769,515591.45622133504,1925977.538552647,2216567.2099406663,OK
liberia,0.2,876,270,640,136,633,404097.593758978,1843347.791730774,382039.93833951507,1821858.269458294,2216567.2099406663,OK
liberia,0.3,876,270,566,114,542,404097.593758978,1695679.007295432,318691.99052200705,1615672.0534567428,2216567.2099406663,OK
togo,0.1,3041,1160,2882,1947,2880,1056946.835131244,3175493.781507536,1978559.047186898,3172467.456990256,3367055.130280057,OK
togo,0.2,3041,1160,2793,1788,2789,1056946.835131244,3083166.9020407842,1702392.200127776,3079060.663974046,3367055.130280057,OK
togo,0.3,3041,1160,2686,1685,2659,1056946.835131244,2945154.0176757053,1550332.402892177,2893868.436396007,3367055.130280057,OK
sierra_leone,0.1,1334,750,1198,472,1198,1659545.070949927,3041920.875793005,1439416.277551887,3041920.875793005,3190790.4146762565,OK
sierra_leone,0.2,1334,750,1173,446,1169,1659545.070949927,3013998.5154317627,1231338.104991529,3004029.0284805894,3190790.4146762565,OK
sierra_leone,0.3,1334,750,1114,424,1092,1659545.070949927,2931397.4190261588,1034328.809829492,2847144.705037464,3190790.4146762565,OK
rwanda,0.1,1270,596,1184,652,1184,706185.9581340831,1581427.591095317,951798.3144241759,1581427.591095317,1649343.029407573,OK
rwanda,0.2,1270,596,1141,575,1137,706185.9581340831,1536312.62764686,811344.9031563441,1532108.9066235041,1649343.029407573,OK
rwanda,0.3,1270,596,1076,514,1059,706185.9581340831,1477227.802385099,707525.715357513,1436207.409488365,1649343.029407573,OK
burundi,0.1,1348,907,1175,871,1175,987588.5519040279,1588172.499870013,1159630.151499093,1588172.499870013,1714038.352422793,OK
burundi,0.2,1348,907,1152,840,1150,987588.5519040279,1556707.324446568,1087828.4536139339,1553213.7263615378,1714038.352422793,OK
burundi,0.3,1348,907,1116,803,1103,987588.5519040279,1512711.18909432,966696.242914741,1487729.023770026,1714038.352422793,OK
gambia,0.1,1505,643,880,81,876,570702.210538707,937325.7937540489,77220.94616700901,920719.580245679,1446656.488261111,OK
gambia,0.2,1505,643,742,68,729,570702.210538707,759159.225044216,62313.693770767,733676.311231804,1446656.488261111,OK
gambia,0.3,1505,643,584,55,550,570702.210538707,586345.73095299,48177.756209205014,521908.965107862,1446656.488261111,OK
djibouti,0.1,301,208,109,80,109,222181.793412247,192508.22530747403,107016.51488164501,192508.22530747403,420632.270088937,OK
djibouti,0.2,301,208,105,79,104,222181.793412247,185182.164636281,100491.23645357501,183670.977109521,420632.270088937,OK
djibouti,0.3,301,208,101,77,100,222181.793412247,173309.94526393604,98106.42486858502,166784.66683586605,420632.270088937,OK
Overall,0.1,342602,187219,252245,147859,251861,206210006.65379867,342741838.0762598,187934665.9803768,341546110.0435108,441540979.55466056,OK
Overall,0.2,342602,187219,244079,140411,242526,206210006.65379867,327711014.6907116,169834006.2103292,323978600.890484,441540979.55466056,OK
Overall,0.3,342602,187219,232409,133358,229057,206210006.65379867,307910127.78930277,154752465.61242506,300111178.5098893,441540979.55466056,OK
